"selectbox"	96291
"image"	94716
"error"	93229
"success"	87725
"file_uploader"	74601
"dataframe"	60229
"number_input"	58312
"warning"	54449
"pyplot"	50099
"spinner"	45120
"slider"	42945
"plotly_chart"	42460
"text_area"	39861
"info"	36515
"text"	33961
"download_button"	32148
"expander"	31935
"checkbox"	29149
"radio"	28513
"container"	23235
"multiselect"	23070
"empty"	22540
"form"	21386
"form_submit_button"	21014
"tabs"	20990
"stop"	20358
"chat_input"	19360
"chat_message"	19299
"date_input"	15428
"table"	15027
"caption"	14252
"metric"	13111
"set_index"	11974
"rerun"	11935
"divider"	11184
"line_chart"	11032
"bar_chart"	10922
"append"	10561
"progress"	10445
"experimental_rerun"	8805
"balloons"	8582
"code"	7981
"set_option"	7325
"cache"	7211
"altair_chart"	6647
"audio"	6455
"video"	5991
"connection"	5286
"cache_data"	5225
"map"	4949
"json"	3638
"camera_input"	2880
"write_stream"	2747
"select_slider"	2658
"toggle"	2396
"data_editor"	2376
"cache_resource"	2339
"navigation"	2329
"latex"	2316
"time_input"	2300
"link_button"	2142
"toast"	2081
"snow"	1996
"Page"	1881
"sort"	1754
"area_chart"	1652
"insert"	1638
"beta_columns"	1610
"logo"	1473
"color_picker"	1454
"experimental_get_query_params"	1305
"echo"	1296
"switch_page"	1255
"remove"	1237
"pydeck_chart"	1164
"exception"	1085
"status"	991
"page_link"	921
"urlopen"	871
"literal_eval"	841
"experimental_set_query_params"	828
"beta_expander"	827
"index"	818
"scatter_chart"	806
"html"	780
"reshape"	734
"extend"	634
"popover"	568
"bokeh_chart"	555
"graphviz_chart"	531
"drop"	523
